name;value
C_max;97.0
startT[job:0, stage:0, machine:1];0.0
startT[job:0, stage:0, machine:2];0.0
startT[job:0, stage:0, machine:3];0.0
startT[job:0, stage:0, machine:4];0.0
startT[job:0, stage:1, machine:10];23.0
startT[job:0, stage:1, machine:11];0.0
startT[job:0, stage:1, machine:12];0.0
startT[job:0, stage:1, machine:13];0.0
startT[job:0, stage:1, machine:14];0.0
startT[job:0, stage:1, machine:15];0.0
startT[job:0, stage:1, machine:16];0.0
startT[job:0, stage:1, machine:9];0.0
startT[job:0, stage:2, machine:10];0.0
startT[job:0, stage:2, machine:11];37.0
startT[job:0, stage:2, machine:12];0.0
startT[job:0, stage:2, machine:5];0.0
startT[job:0, stage:2, machine:6];0.0
startT[job:0, stage:2, machine:7];0.0
startT[job:0, stage:2, machine:8];0.0
startT[job:0, stage:2, machine:9];0.0
startT[job:0, stage:3, machine:10];0.0
startT[job:0, stage:3, machine:11];0.0
startT[job:0, stage:3, machine:12];0.0
startT[job:0, stage:3, machine:13];0.0
startT[job:0, stage:3, machine:14];58.0
startT[job:0, stage:3, machine:15];0.0
startT[job:0, stage:3, machine:16];0.0
startT[job:0, stage:3, machine:5];0.0
startT[job:0, stage:3, machine:6];0.0
startT[job:0, stage:3, machine:7];0.0
startT[job:0, stage:3, machine:8];0.0
startT[job:0, stage:3, machine:9];0.0
startT[job:0, stage:4, machine:17];0.0
startT[job:0, stage:4, machine:18];0.0
startT[job:0, stage:4, machine:19];68.0
startT[job:0, stage:4, machine:20];0.0
startT[job:1, stage:0, machine:1];0.0
startT[job:1, stage:0, machine:2];0.0
startT[job:1, stage:0, machine:3];0.0
startT[job:1, stage:0, machine:4];0.0
startT[job:1, stage:1, machine:5];0.0
startT[job:1, stage:1, machine:6];10.0
startT[job:1, stage:1, machine:7];0.0
startT[job:1, stage:1, machine:8];0.0
startT[job:1, stage:2, machine:10];0.0
startT[job:1, stage:2, machine:11];0.0
startT[job:1, stage:2, machine:12];27.0
startT[job:1, stage:2, machine:13];0.0
startT[job:1, stage:2, machine:14];0.0
startT[job:1, stage:2, machine:15];0.0
startT[job:1, stage:2, machine:16];0.0
startT[job:1, stage:2, machine:5];0.0
startT[job:1, stage:2, machine:6];0.0
startT[job:1, stage:2, machine:7];0.0
startT[job:1, stage:2, machine:8];0.0
startT[job:1, stage:2, machine:9];0.0
startT[job:1, stage:3, machine:10];0.0
startT[job:1, stage:3, machine:11];0.0
startT[job:1, stage:3, machine:12];0.0
startT[job:1, stage:3, machine:13];38.0
startT[job:1, stage:3, machine:14];0.0
startT[job:1, stage:3, machine:15];0.0
startT[job:1, stage:3, machine:16];0.0
startT[job:1, stage:3, machine:9];0.0
startT[job:1, stage:4, machine:17];0.0
startT[job:1, stage:4, machine:18];0.0
startT[job:1, stage:4, machine:19];49.0
startT[job:1, stage:4, machine:20];0.0
startT[job:2, stage:0, machine:1];0.0
startT[job:2, stage:0, machine:2];10.0
startT[job:2, stage:0, machine:3];0.0
startT[job:2, stage:0, machine:4];0.0
startT[job:2, stage:1, machine:13];0.0
startT[job:2, stage:1, machine:14];0.0
startT[job:2, stage:1, machine:15];0.0
startT[job:2, stage:1, machine:16];0.0
startT[job:2, stage:1, machine:5];0.0
startT[job:2, stage:1, machine:6];0.0
startT[job:2, stage:1, machine:7];0.0
startT[job:2, stage:1, machine:8];22.0
startT[job:2, stage:2, machine:5];0.0
startT[job:2, stage:2, machine:6];0.0
startT[job:2, stage:2, machine:7];32.0
startT[job:2, stage:2, machine:8];0.0
startT[job:2, stage:3, machine:10];0.0
startT[job:2, stage:3, machine:11];0.0
startT[job:2, stage:3, machine:12];49.0
startT[job:2, stage:3, machine:13];0.0
startT[job:2, stage:3, machine:14];0.0
startT[job:2, stage:3, machine:15];0.0
startT[job:2, stage:3, machine:16];0.0
startT[job:2, stage:3, machine:5];0.0
startT[job:2, stage:3, machine:6];0.0
startT[job:2, stage:3, machine:7];0.0
startT[job:2, stage:3, machine:8];0.0
startT[job:2, stage:3, machine:9];0.0
startT[job:2, stage:4, machine:17];0.0
startT[job:2, stage:4, machine:18];0.0
startT[job:2, stage:4, machine:19];0.0
startT[job:2, stage:4, machine:20];60.0
startT[job:3, stage:0, machine:1];0.0
startT[job:3, stage:0, machine:2];22.0
startT[job:3, stage:0, machine:3];0.0
startT[job:3, stage:0, machine:4];0.0
startT[job:3, stage:1, machine:10];0.0
startT[job:3, stage:1, machine:11];0.0
startT[job:3, stage:1, machine:12];0.0
startT[job:3, stage:1, machine:13];0.0
startT[job:3, stage:1, machine:14];32.0
startT[job:3, stage:1, machine:15];0.0
startT[job:3, stage:1, machine:16];0.0
startT[job:3, stage:1, machine:5];0.0
startT[job:3, stage:1, machine:6];0.0
startT[job:3, stage:1, machine:7];0.0
startT[job:3, stage:1, machine:8];0.0
startT[job:3, stage:1, machine:9];0.0
startT[job:3, stage:2, machine:10];0.0
startT[job:3, stage:2, machine:11];0.0
startT[job:3, stage:2, machine:12];0.0
startT[job:3, stage:2, machine:13];0.0
startT[job:3, stage:2, machine:14];0.0
startT[job:3, stage:2, machine:15];0.0
