name;value
Z_FO;12045.0
s[0,0,3];1702.0
s[0,0,4];0.0
s[0,0,6];0.0
s[0,1,1];1572.0
s[0,1,3];0.0
s[0,1,6];0.0
s[0,2,0];1326.0
s[0,2,1];0.0
s[0,2,2];0.0
s[1,0,4];0.0
s[1,0,5];0.0
s[1,0,6];2086.0
s[1,1,1];2020.0
s[1,1,2];0.0
s[1,2,0];0.0
s[1,2,2];1870.0
s[2,0,3];0.0
s[2,0,4];0.0
s[2,0,5];1050.0
s[2,1,2];870.0
s[2,1,3];0.0
s[2,1,6];0.0
s[2,2,0];783.0
s[2,2,1];0.0
s[3,0,3];0.0
s[3,0,5];740.0
s[3,1,2];0.0
s[3,1,4];567.0
s[3,2,0];480.0
s[3,2,1];0.0
s[4,0,1];0.0
s[4,0,4];1182.0
s[4,0,5];0.0
s[4,1,3];0.0
s[4,1,4];0.0
s[4,1,6];1071.0
s[4,2,0];0.0
s[4,2,1];949.0
s[4,2,2];0.0
s[5,0,4];0.0
s[5,0,5];0.0
s[5,0,6];1484.0
s[5,1,2];0.0
s[5,1,3];1234.0
s[5,1,4];0.0
s[5,2,1];0.0
s[5,2,2];0.0
s[5,2,3];480.0
s[6,0,4];0.0
s[6,0,5];0.0
s[6,0,6];761.0
s[6,1,2];637.0
s[6,1,4];0.0
s[6,2,1];480.0
s[6,2,2];0.0
s[7,0,4];0.0
s[7,0,5];1818.0
s[7,0,6];0.0
s[7,1,4];0.0
s[7,1,5];1455.0
s[7,2,2];0.0
s[7,2,3];820.0
x[0,0,0,0];0.0
x[0,0,0,1];1.0
x[0,0,0,2];0.0
x[0,0,1,0];1.0
x[0,0,1,1];0.0
x[0,0,1,2];0.0
x[0,0,2,0];1.0
x[0,0,2,1];1.0
x[0,0,2,2];0.0
x[0,0,3,0];1.0
x[0,0,3,1];1.0
x[0,0,3,2];0.0
x[0,0,4,0];1.0
x[0,0,4,1];1.0
x[0,0,4,2];0.0
x[0,0,5,0];1.0
x[0,0,5,1];1.0
x[0,0,5,2];1.0
x[0,0,6,0];1.0
x[0,0,6,1];1.0
x[0,0,6,2];0.0
x[0,0,7,0];1.0
x[0,0,7,1];1.0
x[0,0,7,2];1.0
x[0,1,0,0];0.0
x[0,1,0,1];0.0
x[0,1,0,2];1.0
x[0,1,1,0];0.0
x[0,1,1,1];0.0
x[0,1,1,2];0.0
x[0,1,2,0];0.0
x[0,1,2,1];1.0
x[0,1,2,2];0.0
x[0,1,3,0];1.0
x[0,1,3,1];0.0
x[0,1,3,2];0.0
x[0,1,4,0];0.0
x[0,1,4,1];0.0
x[0,1,4,2];1.0
x[0,1,5,0];0.0
x[0,1,5,1];1.0
x[0,1,5,2];0.0
x[0,1,6,0];1.0
x[0,1,6,1];0.0
x[0,1,6,2];1.0
x[0,1,7,0];1.0
x[0,1,7,1];0.0
x[0,1,7,2];1.0
x[0,2,0,0];0.0
x[0,2,0,1];0.0
x[0,2,0,2];0.0
x[0,2,1,0];0.0
x[0,2,1,1];1.0
x[0,2,1,2];0.0
x[0,2,2,0];0.0
x[0,2,2,1];0.0
x[0,2,2,2];1.0
x[0,2,3,0];0.0
x[0,2,3,1];1.0
x[0,2,3,2];1.0
x[0,2,4,0];1.0
x[0,2,4,1];0.0
x[0,2,4,2];1.0
x[0,2,5,0];0.0
x[0,2,5,1];1.0
x[0,2,5,2];1.0
x[0,2,6,0];0.0
x[0,2,6,1];0.0
x[0,2,6,2];1.0
x[0,2,7,0];0.0
x[0,2,7,1];0.0
x[0,2,7,2];1.0
x[1,0,0,0];0.0
x[1,0,0,1];0.0
x[1,0,0,2];0.0
x[1,0,1,0];0.0
x[1,0,1,1];0.0
x[1,0,1,2];0.0
x[1,0,2,0];1.0
x[1,0,2,1];1.0
x[1,0,2,2];0.0
x[1,0,3,0];1.0
x[1,0,3,1];1.0
x[1,0,3,2];0.0
x[1,0,4,0];1.0
x[1,0,4,1];1.0
x[1,0,4,2];0.0
x[1,0,5,0];1.0
x[1,0,5,1];0.0
x[1,0,5,2];0.0
x[1,0,6,0];1.0
x[1,0,6,1];1.0
x[1,0,6,2];0.0
x[1,0,7,0];1.0
x[1,0,7,1];0.0
x[1,0,7,2];0.0
x[1,1,0,0];0.0
x[1,1,0,1];0.0
x[1,1,0,2];0.0
x[1,1,1,0];0.0
x[1,1,1,1];0.0
x[1,1,1,2];0.0
x[1,1,2,0];0.0
x[1,1,2,1];0.0
x[1,1,2,2];1.0
x[1,1,3,0];0.0
x[1,1,3,1];1.0
x[1,1,3,2];1.0
x[1,1,4,0];1.0
x[1,1,4,1];0.0
x[1,1,4,2];1.0
x[1,1,5,0];0.0
x[1,1,5,1];1.0
x[1,1,5,2];1.0
x[1,1,6,0];0.0
x[1,1,6,1];0.0
x[1,1,6,2];1.0
x[1,1,7,0];0.0
x[1,1,7,1];0.0
x[1,1,7,2];1.0
x[1,2,0,0];0.0
x[1,2,0,1];0.0
x[1,2,0,2];0.0
x[1,2,1,0];0.0
x[1,2,1,1];1.0
x[1,2,1,2];0.0
x[1,2,2,0];0.0
x[1,2,2,1];1.0
x[1,2,2,2];1.0
x[1,2,3,0];0.0
x[1,2,3,1];0.0
x[1,2,3,2];0.0
x[1,2,4,0];0.0
x[1,2,4,1];0.0
x[1,2,4,2];1.0
x[1,2,5,0];0.0
x[1,2,5,1];1.0
x[1,2,5,2];1.0
x[1,2,6,0];0.0
x[1,2,6,1];1.0
x[1,2,6,2];1.0
x[1,2,7,0];0.0
x[1,2,7,1];0.0
x[1,2,7,2];1.0
x[2,0,0,0];0.0
x[2,0,0,1];0.0
x[2,0,0,2];0.0
x[2,0,1,0];0.0
x[2,0,1,1];0.0
x[2,0,1,2];0.0
x[2,0,2,0];0.0
x[2,0,2,1];1.0
x[2,0,2,2];0.0
x[2,0,3,0];1.0
x[2,0,3,1];0.0
x[2,0,3,2];0.0
x[2,0,4,0];0.0
x[2,0,4,1];1.0
x[2,0,4,2];0.0
x[2,0,5,0];0.0
x[2,0,5,1];1.0
x[2,0,5,2];1.0
x[2,0,6,0];0.0
x[2,0,6,1];0.0
x[2,0,6,2];0.0
x[2,0,7,0];0.0
x[2,0,7,1];0.0
x[2,0,7,2];0.0
x[2,1,0,0];0.0
x[2,1,0,1];0.0
x[2,1,0,2];0.0
x[2,1,1,0];0.0
x[2,1,1,1];0.0
x[2,1,1,2];0.0
x[2,1,2,0];0.0
x[2,1,2,1];0.0
x[2,1,2,2];0.0
x[2,1,3,0];0.0
x[2,1,3,1];1.0
x[2,1,3,2];0.0
x[2,1,4,0];0.0
x[2,1,4,1];1.0
x[2,1,4,2];1.0
x[2,1,5,0];0.0
x[2,1,5,1];0.0
x[2,1,5,2];1.0
x[2,1,6,0];0.0
x[2,1,6,1];1.0
x[2,1,6,2];1.0
x[2,1,7,0];0.0
x[2,1,7,1];0.0
x[2,1,7,2];0.0
x[2,2,0,0];0.0
x[2,2,0,1];0.0
x[2,2,0,2];0.0
x[2,2,1,0];0.0
x[2,2,1,1];0.0
x[2,2,1,2];0.0
x[2,2,2,0];0.0
x[2,2,2,1];0.0
x[2,2,2,2];0.0
x[2,2,3,0];0.0
x[2,2,3,1];0.0
x[2,2,3,2];1.0
x[2,2,4,0];1.0
x[2,2,4,1];0.0
x[2,2,4,2];1.0
x[2,2,5,0];0.0
x[2,2,5,1];0.0
x[2,2,5,2];1.0
x[2,2,6,0];0.0
x[2,2,6,1];0.0
x[2,2,6,2];1.0
x[2,2,7,0];0.0
x[2,2,7,1];0.0
x[2,2,7,2];0.0
x[3,0,0,0];0.0
x[3,0,0,1];0.0
x[3,0,0,2];0.0
x[3,0,1,0];0.0
x[3,0,1,1];0.0
x[3,0,1,2];0.0
x[3,0,2,0];0.0
x[3,0,2,1];0.0
x[3,0,2,2];0.0
x[3,0,3,0];0.0
x[3,0,3,1];0.0
x[3,0,3,2];0.0
x[3,0,4,0];0.0
x[3,0,4,1];1.0
x[3,0,4,2];0.0
x[3,0,5,0];0.0
x[3,0,5,1];1.0
x[3,0,5,2];1.0
x[3,0,6,0];1.0
x[3,0,6,1];0.0
x[3,0,6,2];0.0
x[3,0,7,0];0.0
x[3,0,7,1];0.0
x[3,0,7,2];0.0
x[3,1,0,0];0.0
x[3,1,0,1];0.0
x[3,1,0,2];0.0
x[3,1,1,0];0.0
x[3,1,1,1];0.0
x[3,1,1,2];0.0
x[3,1,2,0];0.0
x[3,1,2,1];0.0
x[3,1,2,2];0.0
x[3,1,3,0];0.0
x[3,1,3,1];0.0
x[3,1,3,2];0.0
x[3,1,4,0];0.0
x[3,1,4,1];0.0
x[3,1,4,2];1.0
x[3,1,5,0];0.0
x[3,1,5,1];0.0
x[3,1,5,2];0.0
x[3,1,6,0];0.0
x[3,1,6,1];0.0
x[3,1,6,2];1.0
x[3,1,7,0];0.0
x[3,1,7,1];0.0
x[3,1,7,2];0.0
x[3,2,0,0];0.0
x[3,2,0,1];0.0
x[3,2,0,2];0.0
x[3,2,1,0];0.0
x[3,2,1,1];0.0
