name;value
C1469;0.0
C1470;1.0
C1471;1.0
C1472;0.0
C1473;0.0
C1474;1.0
C1475;0.0
C1476;1.0
C1477;0.0
C1478;1.0
C1479;0.0
C1480;1.0
C1481;1.0
C1482;0.0
C1483;0.0
C1484;1.0
C1485;0.0
C1486;1.0
Z_FO;13656.0
s[0,0,6];0.0
s[0,0,7];1234.0
s[0,1,3];1084.0
s[0,1,4];0.0
s[0,1,6];0.0
s[0,2,1];0.0
s[0,2,3];820.0
s[0,2,6];0.0
s[0,3,0];480.0
s[0,3,1];0.0
s[0,3,2];0.0
s[1,0,4];1097.0
s[1,0,7];0.0
s[1,1,4];0.0
s[1,1,5];758.0
s[1,1,6];0.0
s[1,2,1];692.0
s[1,2,2];0.0
s[1,3,0];0.0
s[1,3,2];480.0
s[2,0,5];0.0
s[2,0,7];787.0
s[2,1,3];0.0
s[2,1,4];687.0
s[2,1,5];0.0
s[2,2,2];0.0
s[2,2,3];0.0
s[2,2,6];542.0
s[2,3,0];0.0
s[2,3,1];480.0
s[3,0,4];0.0
s[3,0,5];2089.0
s[3,1,3];1652.0
s[3,1,5];0.0
s[3,2,2];0.0
s[3,2,4];1277.0
s[3,3,0];1022.0
s[3,3,1];0.0
s[4,0,5];0.0
s[4,0,7];1743.0
s[4,1,1];1602.0
s[4,1,4];0.0
s[4,1,5];0.0
s[4,2,3];0.0
s[4,2,4];0.0
s[4,2,6];1021.0
s[4,3,0];0.0
s[4,3,1];899.0
s[4,3,2];0.0
s[5,0,3];0.0
s[5,0,6];2287.0
s[5,1,4];1824.0
s[5,1,5];0.0
s[5,1,6];0.0
s[5,2,2];1472.0
s[5,2,3];0.0
s[5,2,4];0.0
s[5,3,1];0.0
s[5,3,2];0.0
s[5,3,3];480.0
s[6,0,4];2860.0
s[6,0,7];0.0
s[6,1,4];0.0
s[6,1,5];2693.0
s[6,1,6];0.0
s[6,2,2];2569.0
s[6,2,4];0.0
s[6,3,1];0.0
s[6,3,2];1224.0
s[7,0,6];0.0
s[7,0,7];2123.0
s[7,1,4];0.0
s[7,1,5];0.0
s[7,1,6];1406.0
s[7,2,4];0.0
s[7,2,5];1025.0
s[7,3,2];739.0
s[7,3,3];0.0
s[8,0,5];0.0
s[8,0,7];2481.0
s[8,1,4];0.0
s[8,1,6];2431.0
s[8,2,2];0.0
s[8,2,3];2142.0
s[8,3,1];0.0
s[8,3,2];1992.0
x[0,0,0,0];0.0
x[0,0,0,1];0.0
x[0,0,0,2];0.0
x[0,0,0,3];0.0
x[0,0,1,0];0.0
x[0,0,1,1];0.0
x[0,0,1,2];0.0
x[0,0,1,3];0.0
x[0,0,2,0];1.0
x[0,0,2,1];0.0
x[0,0,2,2];0.0
x[0,0,2,3];0.0
x[0,0,3,0];0.0
x[0,0,3,1];0.0
x[0,0,3,2];0.0
x[0,0,3,3];0.0
x[0,0,4,0];0.0
x[0,0,4,1];0.0
x[0,0,4,2];1.0
x[0,0,4,3];0.0
x[0,0,5,0];1.0
x[0,0,5,1];0.0
x[0,0,5,2];0.0
x[0,0,5,3];0.0
x[0,0,6,0];0.0
x[0,0,6,1];0.0
x[0,0,6,2];0.0
x[0,0,6,3];0.0
x[0,0,7,0];0.0
x[0,0,7,1];0.0
x[0,0,7,2];0.0
x[0,0,7,3];0.0
x[0,0,8,0];0.0
x[0,0,8,1];0.0
x[0,0,8,2];0.0
x[0,0,8,3];0.0
x[0,1,0,0];1.0
x[0,1,0,1];0.0
x[0,1,0,2];1.0
x[0,1,0,3];0.0
x[0,1,1,0];0.0
x[0,1,1,1];0.0
x[0,1,1,2];0.0
x[0,1,1,3];0.0
x[0,1,2,0];0.0
x[0,1,2,1];0.0
x[0,1,2,2];0.0
x[0,1,2,3];0.0
x[0,1,3,0];0.0
x[0,1,3,1];0.0
x[0,1,3,2];0.0
x[0,1,3,3];0.0
x[0,1,4,0];0.0
x[0,1,4,1];0.0
x[0,1,4,2];0.0
x[0,1,4,3];0.0
x[0,1,5,0];0.0
x[0,1,5,1];0.0
x[0,1,5,2];0.0
x[0,1,5,3];1.0
x[0,1,6,0];0.0
x[0,1,6,1];0.0
x[0,1,6,2];0.0
x[0,1,6,3];0.0
x[0,1,7,0];0.0
x[0,1,7,1];0.0
x[0,1,7,2];0.0
x[0,1,7,3];0.0
x[0,1,8,0];0.0
x[0,1,8,1];0.0
x[0,1,8,2];0.0
x[0,1,8,3];0.0
x[0,2,0,0];1.0
x[0,2,0,1];0.0
x[0,2,0,2];0.0
x[0,2,0,3];0.0
x[0,2,1,0];0.0
x[0,2,1,1];0.0
x[0,2,1,2];1.0
x[0,2,1,3];0.0
x[0,2,2,0];0.0
x[0,2,2,1];0.0
x[0,2,2,2];1.0
x[0,2,2,3];1.0
x[0,2,3,0];0.0
x[0,2,3,1];0.0
x[0,2,3,2];0.0
x[0,2,3,3];0.0
x[0,2,4,0];0.0
x[0,2,4,1];1.0
x[0,2,4,2];1.0
x[0,2,4,3];1.0
x[0,2,5,0];1.0
x[0,2,5,1];0.0
x[0,2,5,2];0.0
x[0,2,5,3];1.0
x[0,2,6,0];0.0
