name;value
C_max;231840.0
startT[job:0, stage:0, machine:1];0.0
startT[job:0, stage:1, machine:2];1440.0
startT[job:0, stage:2, machine:3];4320.0
startT[job:0, stage:3, machine:4];7200.0
startT[job:0, stage:4, machine:5];10080.0
startT[job:1, stage:0, machine:1];2880.0
startT[job:1, stage:1, machine:4];4320.0
startT[job:1, stage:2, machine:3];7200.0
startT[job:1, stage:3, machine:5];8640.0
startT[job:1, stage:4, machine:2];10080.0
startT[job:2, stage:0, machine:1];1440.0
startT[job:2, stage:1, machine:5];2880.0
startT[job:2, stage:2, machine:2];5760.0
startT[job:2, stage:3, machine:3];10080.0
startT[job:2, stage:4, machine:4];11520.0
startT[job:3, stage:0, machine:1];4320.0
startT[job:3, stage:1, machine:3];11520.0
startT[job:3, stage:2, machine:2];14400.0
startT[job:3, stage:3, machine:4];17280.0
startT[job:4, stage:0, machine:1];5760.0
startT[job:4, stage:1, machine:3];8640.0
startT[job:4, stage:2, machine:4];10080.0
startT[job:4, stage:3, machine:2];11520.0
startT[job:4, stage:4, machine:4];12960.0
x[machine: 1, job1|stage1:0|0, job2|stage2:1|0];0.0
x[machine: 1, job1|stage1:0|0, job2|stage2:2|0];0.0
x[machine: 1, job1|stage1:0|0, job2|stage2:3|0];0.0
x[machine: 1, job1|stage1:0|0, job2|stage2:4|0];0.0
x[machine: 1, job1|stage1:1|0, job2|stage2:2|0];1.0
x[machine: 1, job1|stage1:1|0, job2|stage2:3|0];0.0
x[machine: 1, job1|stage1:1|0, job2|stage2:4|0];0.0
x[machine: 1, job1|stage1:2|0, job2|stage2:3|0];0.0
x[machine: 1, job1|stage1:2|0, job2|stage2:4|0];0.0
x[machine: 1, job1|stage1:3|0, job2|stage2:4|0];0.0
x[machine: 2, job1|stage1:0|1, job2|stage2:1|4];0.0
x[machine: 2, job1|stage1:0|1, job2|stage2:2|2];0.0
x[machine: 2, job1|stage1:0|1, job2|stage2:3|2];0.0
x[machine: 2, job1|stage1:0|1, job2|stage2:4|3];0.0
x[machine: 2, job1|stage1:1|4, job2|stage2:2|2];1.0
x[machine: 2, job1|stage1:1|4, job2|stage2:3|2];0.0
x[machine: 2, job1|stage1:1|4, job2|stage2:4|3];0.0
x[machine: 2, job1|stage1:2|2, job2|stage2:3|2];0.0
x[machine: 2, job1|stage1:2|2, job2|stage2:4|3];0.0
x[machine: 2, job1|stage1:3|2, job2|stage2:4|3];1.0
x[machine: 3, job1|stage1:0|2, job2|stage2:1|2];0.0
x[machine: 3, job1|stage1:0|2, job2|stage2:2|3];0.0
x[machine: 3, job1|stage1:0|2, job2|stage2:3|1];0.0
x[machine: 3, job1|stage1:0|2, job2|stage2:4|1];0.0
x[machine: 3, job1|stage1:1|2, job2|stage2:2|3];0.0
x[machine: 3, job1|stage1:1|2, job2|stage2:3|1];0.0
x[machine: 3, job1|stage1:1|2, job2|stage2:4|1];0.0
x[machine: 3, job1|stage1:2|3, job2|stage2:3|1];0.0
x[machine: 3, job1|stage1:2|3, job2|stage2:4|1];1.0
x[machine: 3, job1|stage1:3|1, job2|stage2:4|1];1.0
x[machine: 4, job1|stage1:0|3, job2|stage2:1|1];1.0
x[machine: 4, job1|stage1:0|3, job2|stage2:2|4];0.0
x[machine: 4, job1|stage1:0|3, job2|stage2:3|3];0.0
x[machine: 4, job1|stage1:0|3, job2|stage2:4|2];0.0
x[machine: 4, job1|stage1:0|3, job2|stage2:4|4];0.0
x[machine: 4, job1|stage1:1|1, job2|stage2:2|4];0.0
x[machine: 4, job1|stage1:1|1, job2|stage2:3|3];0.0
x[machine: 4, job1|stage1:1|1, job2|stage2:4|2];0.0
x[machine: 4, job1|stage1:1|1, job2|stage2:4|4];0.0
x[machine: 4, job1|stage1:2|4, job2|stage2:3|3];0.0
x[machine: 4, job1|stage1:2|4, job2|stage2:4|2];1.0
x[machine: 4, job1|stage1:2|4, job2|stage2:4|4];0.0
x[machine: 4, job1|stage1:3|3, job2|stage2:4|2];1.0
x[machine: 4, job1|stage1:3|3, job2|stage2:4|4];1.0
x[machine: 5, job1|stage1:0|4, job2|stage2:1|3];1.0
x[machine: 5, job1|stage1:0|4, job2|stage2:2|1];1.0
x[machine: 5, job1|stage1:1|3, job2|stage2:2|1];1.0
y[job:0, stage:0, machine:1];1.0
y[job:0, stage:1, machine:2];1.0
y[job:0, stage:2, machine:3];1.0
y[job:0, stage:3, machine:4];1.0
y[job:0, stage:4, machine:5];1.0
y[job:1, stage:0, machine:1];1.0
y[job:1, stage:1, machine:4];1.0
y[job:1, stage:2, machine:3];1.0
y[job:1, stage:3, machine:5];1.0
y[job:1, stage:4, machine:2];1.0
y[job:2, stage:0, machine:1];1.0
y[job:2, stage:1, machine:5];1.0
y[job:2, stage:2, machine:2];1.0
y[job:2, stage:3, machine:3];1.0
y[job:2, stage:4, machine:4];1.0
y[job:3, stage:0, machine:1];1.0
y[job:3, stage:1, machine:3];1.0
y[job:3, stage:2, machine:2];1.0
y[job:3, stage:3, machine:4];1.0
y[job:4, stage:0, machine:1];1.0
y[job:4, stage:1, machine:3];1.0
y[job:4, stage:2, machine:4];1.0
y[job:4, stage:3, machine:2];1.0
y[job:4, stage:4, machine:4];1.0
