name;value
Z_FO;2620.0
s[0,0,0];653.0
s[0,0,1];0.0
s[0,1,0];480.0
s[1,0,1];902.0
s[1,1,0];0.0
s[1,1,1];480.0
s[2,0,0];862.0
s[2,0,1];0.0
s[2,1,0];0.0
s[2,1,1];587.0
x[0,0,0,0];0.0
x[0,0,0,1];1.0
x[0,0,1,0];0.0
x[0,0,1,1];0.0
x[0,0,2,0];0.0
x[0,0,2,1];0.0
x[0,1,0,0];0.0
x[0,1,0,1];0.0
x[0,1,1,0];0.0
x[0,1,1,1];0.0
x[0,1,2,0];0.0
x[0,1,2,1];0.0
x[1,0,0,0];0.0
x[1,0,0,1];0.0
x[1,0,1,0];0.0
x[1,0,1,1];1.0
x[1,0,2,0];1.0
x[1,0,2,1];1.0
x[1,1,0,0];0.0
x[1,1,0,1];0.0
x[1,1,1,0];0.0
x[1,1,1,1];0.0
x[1,1,2,0];0.0
x[1,1,2,1];0.0
x[2,0,0,0];0.0
x[2,0,0,1];0.0
x[2,0,1,0];0.0
x[2,0,1,1];0.0
x[2,0,2,0];0.0
x[2,0,2,1];0.0
x[2,1,0,0];0.0
x[2,1,0,1];0.0
x[2,1,1,0];0.0
x[2,1,1,1];0.0
x[2,1,2,0];0.0
x[2,1,2,1];0.0
y[0,0,0];1.0
y[0,0,1];0.0
y[0,1,0];1.0
y[1,0,1];1.0
y[1,1,0];0.0
y[1,1,1];1.0
y[2,0,0];1.0
y[2,0,1];0.0
y[2,1,0];0.0
y[2,1,1];1.0
