name;value
Z_FO;5290.0
b[job:0, stage:0, machine:1];0.0
b[job:0, stage:0, machine:2];0.0
b[job:0, stage:0, machine:3];0.0
b[job:0, stage:1, machine:2];1.0
b[job:0, stage:1, machine:4];0.0
b[job:0, stage:1, machine:7];0.0
b[job:0, stage:2, machine:4];1.0
b[job:0, stage:2, machine:5];0.0
b[job:0, stage:2, machine:7];0.0
b[job:0, stage:3, machine:6];1.0
b[job:0, stage:3, machine:7];0.0
b[job:1, stage:0, machine:1];1.0
b[job:1, stage:0, machine:3];0.0
b[job:1, stage:1, machine:2];1.0
b[job:1, stage:1, machine:3];0.0
b[job:1, stage:2, machine:5];0.0
b[job:1, stage:2, machine:6];1.0
b[job:1, stage:2, machine:7];0.0
b[job:1, stage:3, machine:5];1.0
b[job:1, stage:3, machine:7];0.0
b[job:2, stage:0, machine:1];0.0
b[job:2, stage:0, machine:2];1.0
b[job:2, stage:1, machine:3];0.0
b[job:2, stage:1, machine:4];0.0
b[job:2, stage:1, machine:7];1.0
b[job:2, stage:2, machine:4];0.0
b[job:2, stage:2, machine:5];1.0
b[job:2, stage:2, machine:6];0.0
b[job:2, stage:3, machine:6];0.0
b[job:2, stage:3, machine:7];1.0
b[job:3, stage:0, machine:1];1.0
b[job:3, stage:0, machine:2];0.0
b[job:3, stage:1, machine:3];1.0
b[job:3, stage:1, machine:5];0.0
b[job:3, stage:2, machine:4];1.0
b[job:3, stage:2, machine:6];0.0
b[job:3, stage:3, machine:5];0.0
b[job:3, stage:3, machine:6];1.0
b[job:4, stage:0, machine:1];1.0
b[job:4, stage:0, machine:2];0.0
b[job:4, stage:0, machine:3];0.0
b[job:4, stage:1, machine:4];0.0
b[job:4, stage:1, machine:5];1.0
b[job:4, stage:1, machine:7];0.0
b[job:4, stage:2, machine:2];0.0
b[job:4, stage:2, machine:5];0.0
b[job:4, stage:2, machine:6];1.0
b[job:4, stage:3, machine:4];1.0
b[job:4, stage:3, machine:6];0.0
b[job:5, stage:0, machine:2];1.0
b[job:5, stage:0, machine:3];0.0
b[job:5, stage:0, machine:4];0.0
b[job:5, stage:1, machine:3];1.0
b[job:5, stage:1, machine:4];0.0
b[job:5, stage:1, machine:5];0.0
b[job:5, stage:2, machine:5];1.0
b[job:5, stage:2, machine:6];0.0
b[job:5, stage:2, machine:7];0.0
b[job:5, stage:3, machine:4];0.0
b[job:5, stage:3, machine:7];1.0
b[job:6, stage:0, machine:2];1.0
b[job:6, stage:0, machine:3];0.0
b[job:6, stage:1, machine:3];1.0
b[job:6, stage:1, machine:5];0.0
b[job:6, stage:2, machine:5];1.0
b[job:6, stage:2, machine:6];0.0
b[job:6, stage:2, machine:7];0.0
b[job:6, stage:3, machine:5];1.0
b[job:6, stage:3, machine:7];0.0
