name;value
C1469;0.0
C1470;1.0
C1471;1.0
C1472;0.0
C1473;0.0
C1474;1.0
C1475;0.0
C1476;1.0
C1477;0.0
C1478;1.0
C1479;0.0
C1480;1.0
C1481;0.0
C1482;1.0
C1483;1.0
C1484;0.0
C1485;1.0
C1486;0.0
Z_FO;14463.0
s[0,0,6];0.0
s[0,0,7];2100.9999999999145
s[0,1,3];1903.999999999995
s[0,1,4];0.0
s[0,1,6];0.0
s[0,2,1];1773.9999999999948
s[0,2,3];0.0
s[0,2,6];0.0
s[0,3,0];0.0
s[0,3,1];479.99999999999636
s[0,3,2];0.0
s[1,0,4];1835.9999999996817
s[1,0,7];0.0
s[1,1,4];0.0
s[1,1,5];0.0
s[1,1,6];1555.999999999641
s[1,2,1];0.0
s[1,2,2];814.9999999999927
s[1,3,0];479.99999999999636
s[1,3,2];0.0
s[2,0,5];0.0
s[2,0,7];2609.9999999999145
s[2,1,3];0.0
s[2,1,4];2274.9999999996826
s[2,1,5];0.0
s[2,2,2];0.0
s[2,2,3];1579.9999999999363
s[2,2,6];0.0
s[2,3,0];0.0
s[2,3,1];987.9999999999936
s[3,0,4];0.0
s[3,0,5];2283.999999999947
s[3,1,3];0.0
s[3,1,5];1777.9999999999482
s[3,2,2];1353.0
s[3,2,4];0.0
s[3,3,0];1266.0
s[3,3,1];0.0
s[4,0,5];0.0
s[4,0,7];1467.9999999999145
s[4,1,1];0.0
s[4,1,4];0.0
s[4,1,5];1382.9999999999472
s[4,2,3];1317.9999999999964
s[4,2,4];0.0
s[4,2,6];0.0
s[4,3,0];779.9999999999563
s[4,3,1];0.0
s[4,3,2];0.0
s[5,0,3];0.0
s[5,0,6];2156.9999999996817
s[5,1,4];2036.9999999996826
s[5,1,5];0.0
s[5,1,6];0.0
s[5,2,2];1831.9999999999927
s[5,2,3];0.0
s[5,2,4];0.0
s[5,3,1];1311.9999999999948
s[5,3,2];0.0
s[5,3,3];0.0
s[6,0,4];0.0
s[6,0,7];970.9999999998727
s[6,1,4];0.0
s[6,1,5];0.0
s[6,1,6];792.9999999998927
s[6,2,2];0.0
s[6,2,4];624.9999999999659
s[6,3,1];0.0
s[6,3,2];479.99999999999454
s[7,0,6];1294.999999999738
s[7,0,7];0.0
s[7,1,4];1080.999999999873
s[7,1,5];0.0
s[7,1,6];0.0
s[7,2,4];0.0
s[7,2,5];723.9999999999945
s[7,3,2];0.0
s[7,3,3];479.99999999999636
s[8,0,5];2715.999999999578
s[8,0,7];0.0
s[8,1,4];0.0
s[8,1,6];2665.999999999578
s[8,2,2];0.0
s[8,2,3];2443.9999999999345
s[8,3,1];2185.9999999999936
s[8,3,2];0.0
x[0,0,0,0];0.0
x[0,0,0,1];0.0
x[0,0,0,2];0.0
x[0,0,0,3];0.0
x[0,0,1,0];1.0
x[0,0,1,1];0.0
x[0,0,1,2];0.0
x[0,0,1,3];0.0
x[0,0,2,0];0.0
x[0,0,2,1];0.0
x[0,0,2,2];0.0
x[0,0,2,3];0.0
x[0,0,3,0];0.0
x[0,0,3,1];0.0
x[0,0,3,2];0.0
x[0,0,3,3];0.0
x[0,0,4,0];1.0
x[0,0,4,1];0.0
x[0,0,4,2];0.0
x[0,0,4,3];0.0
x[0,0,5,0];0.0
x[0,0,5,1];0.0
x[0,0,5,2];0.0
x[0,0,5,3];0.0
x[0,0,6,0];1.0
x[0,0,6,1];0.0
x[0,0,6,2];0.0
x[0,0,6,3];0.0
x[0,0,7,0];0.0
x[0,0,7,1];0.0
x[0,0,7,2];0.0
x[0,0,7,3];0.0
x[0,0,8,0];0.0
x[0,0,8,1];0.0
x[0,0,8,2];0.0
x[0,0,8,3];0.0
x[0,1,0,0];1.0
x[0,1,0,1];0.0
x[0,1,0,2];0.0
x[0,1,0,3];0.0
x[0,1,1,0];1.0
x[0,1,1,1];1.0
x[0,1,1,2];0.0
x[0,1,1,3];0.0
x[0,1,2,0];0.0
x[0,1,2,1];0.0
x[0,1,2,2];1.0
x[0,1,2,3];0.0
x[0,1,3,0];0.0
x[0,1,3,1];1.0
x[0,1,3,2];0.0
x[0,1,3,3];0.0
x[0,1,4,0];0.0
x[0,1,4,1];0.0
x[0,1,4,2];1.0
x[0,1,4,3];0.0
x[0,1,5,0];0.0
x[0,1,5,1];1.0
x[0,1,5,2];0.0
x[0,1,5,3];0.0
x[0,1,6,0];1.0
x[0,1,6,1];1.0
x[0,1,6,2];1.0
x[0,1,6,3];0.0
x[0,1,7,0];1.0
x[0,1,7,1];1.0
x[0,1,7,2];0.0
x[0,1,7,3];1.0
x[0,1,8,0];0.0
x[0,1,8,1];0.0
x[0,1,8,2];0.0
x[0,1,8,3];0.0
x[0,2,0,0];1.0
x[0,2,0,1];1.0
x[0,2,0,2];0.0
x[0,2,0,3];1.0
x[0,2,1,0];0.0
x[0,2,1,1];0.0
x[0,2,1,2];1.0
x[0,2,1,3];0.0
x[0,2,2,0];0.0
x[0,2,2,1];1.0
x[0,2,2,2];1.0
x[0,2,2,3];1.0
x[0,2,3,0];0.0
x[0,2,3,1];0.0
x[0,2,3,2];0.0
x[0,2,3,3];0.0
