name;value
Z_FO;524436.0
s[0,0,18];23360.999999999833
s[0,1,13];0.0
s[0,1,14];22160.999999999833
s[0,2,9];20480.999999999833
s[0,3,10];0.0
s[0,3,11];7738.999999997737
s[0,4,5];6907.0
s[0,4,6];0.0
s[0,4,7];0.0
s[0,4,8];0.0
s[0,5,12];6119.999999998403
s[0,6,19];0.0
s[0,6,20];4613.999999999778
s[1,0,18];5220.0
s[1,1,17];4739.999999999985
s[1,2,5];0.0
s[1,2,6];4379.999999998865
s[1,2,7];0.0
s[1,2,8];0.0
s[1,3,12];4259.999999999985
s[1,4,10];4080.0
s[1,4,11];0.0
s[1,5,5];3840.0
s[1,5,6];0.0
s[1,5,7];0.0
s[1,5,8];0.0
s[10,0,18];9502.999999999643
s[10,1,19];0.0
s[10,1,20];8782.999999999665
s[11,0,18];19592.999999999833
s[11,1,13];0.0
s[11,1,14];18992.999999999833
s[11,2,9];18152.999999999833
s[11,3,10];0.0
s[11,3,11];12043.99999999995
s[11,4,5];0.0
s[11,4,6];0.0
s[11,4,7];11395.99999999995
s[11,4,8];0.0
s[11,5,12];11155.99999999995
s[11,6,19];10675.99999999995
s[11,6,20];0.0
s[12,0,18];20372.999999999833
s[12,1,17];18932.999999999833
s[12,10,0];0.0
s[12,10,1];540.0
s[12,10,2];0.0
s[12,10,3];0.0
s[12,11,3];0.0
s[12,2,15];0.0
s[12,2,16];16772.999999999833
s[12,3,10];15692.999999999833
s[12,3,11];0.0
s[12,4,9];14972.999999999833
s[12,5,5];0.0
s[12,5,6];12715.999999997712
s[12,5,7];0.0
s[12,5,8];0.0
s[12,6,12];12525.999999999556
s[12,7,19];0.0
s[12,7,20];11805.999999999556
s[12,8,4];3437.9999999990905
s[12,9,3];1714.9999999999782
s[13,0,18];9245.99999999996
s[13,1,19];8367.99999999995
s[13,1,20];0.0
s[14,0,18];9341.999999999924
s[14,1,13];8951.999999999978
s[14,1,14];0.0
s[14,2,9];8433.99999999988
s[14,3,10];0.0
s[14,3,11];7402.9999999979445
s[14,4,5];0.0
s[14,4,6];0.0
s[14,4,7];0.0
s[14,4,8];7222.9999999979445
s[14,5,12];6933.999999997992
s[14,6,19];6334.999999999944
s[14,6,20];0.0
s[15,0,18];11696.999999999833
s[15,1,17];10606.999999999953
s[15,10,0];6024.0
s[15,10,1];0.0
s[15,10,2];0.0
s[15,10,3];0.0
s[15,11,3];5664.0
s[15,2,15];9118.999999999694
s[15,2,16];0.0
s[15,3,10];0.0
s[15,3,11];6658.999999998148
s[15,4,9];6100.9999999999345
s[15,5,5];0.0
s[15,5,6];5740.9999999999345
s[15,5,7];0.0
s[15,5,8];0.0
s[15,6,12];5544.0
s[15,7,19];4800.0
s[15,7,20];0.0
s[15,8,4];7744.99999999992
s[15,9,3];6995.999999999978
s[16,0,18];8366.999999999902
s[16,1,13];7911.999999999907
s[16,1,14];0.0
s[16,2,9];7491.999999999924
s[16,3,10];7191.999999999924
s[16,3,11];0.0
s[16,4,5];0.0
s[16,4,6];0.0
s[16,4,7];0.0
s[16,4,8];6989.9999999979445
s[16,5,12];6772.999999998123
s[16,6,19];0.0
s[16,6,20];6240.0
s[17,0,18];10228.999999999625
s[17,1,19];0.0
s[17,1,20];9508.999999999665
s[18,0,18];12562.999999999953
s[18,1,17];11602.999999999953
s[18,10,0];0.0
