name;value
C_max;1003979.9999995235
startT[job:0, stage:0, machine:1];2879.9999999976126
startT[job:0, stage:0, machine:2];0.0
startT[job:0, stage:1, machine:3];3119.9999999975457
startT[job:0, stage:2, machine:4];3239.999999997539
startT[job:0, stage:2, machine:5];0.0
startT[job:0, stage:2, machine:6];0.0
startT[job:0, stage:2, machine:7];0.0
startT[job:0, stage:3, machine:8];3539.999999998131
startT[job:0, stage:3, machine:9];0.0
startT[job:0, stage:4, machine:10];9179.99999999851
startT[job:0, stage:5, machine:11];9599.999999998516
startT[job:0, stage:5, machine:12];0.0
startT[job:0, stage:6, machine:13];9899.99999999851
startT[job:1, stage:0, machine:4];0.0
startT[job:1, stage:0, machine:5];0.0
startT[job:1, stage:0, machine:6];0.0
startT[job:1, stage:0, machine:7];0.0
startT[job:1, stage:1, machine:8];239.9999999999418
startT[job:1, stage:1, machine:9];0.0
startT[job:1, stage:2, machine:3];3599.9999999978854
startT[job:1, stage:3, machine:4];3719.9999999973625
startT[job:1, stage:3, machine:5];0.0
startT[job:1, stage:3, machine:6];0.0
startT[job:1, stage:3, machine:7];0.0
startT[job:1, stage:4, machine:14];7679.999999996688
startT[job:1, stage:5, machine:13];8159.999999996227
startT[job:10, stage:0, machine:4];0.0
startT[job:10, stage:0, machine:5];0.0
startT[job:10, stage:0, machine:6];0.0
startT[job:10, stage:0, machine:7];0.0
startT[job:10, stage:1, machine:8];0.0
startT[job:10, stage:1, machine:9];419.99999999889246
startT[job:10, stage:2, machine:3];1079.9999999992826
startT[job:10, stage:3, machine:4];1199.9999999979407
startT[job:10, stage:3, machine:5];0.0
startT[job:10, stage:3, machine:6];0.0
startT[job:10, stage:3, machine:7];0.0
startT[job:10, stage:4, machine:14];8159.999999999984
startT[job:10, stage:5, machine:13];8759.99999999624
startT[job:11, stage:0, machine:4];0.0
startT[job:11, stage:0, machine:5];0.0
startT[job:11, stage:0, machine:6];0.0
startT[job:11, stage:0, machine:7];239.99999999989086
startT[job:11, stage:1, machine:8];599.9999999990396
startT[job:11, stage:1, machine:9];0.0
startT[job:11, stage:2, machine:3];3959.9999999959423
startT[job:11, stage:3, machine:4];0.0
startT[job:11, stage:3, machine:5];4079.9999999958927
startT[job:11, stage:3, machine:6];0.0
startT[job:11, stage:3, machine:7];4.9112713895738125e-11
startT[job:11, stage:4, machine:14];6239.999999999826
startT[job:11, stage:5, machine:13];6719.9999999995935
startT[job:12, stage:0, machine:1];0.0
startT[job:12, stage:0, machine:2];2879.999999997046
startT[job:12, stage:1, machine:3];3239.99999999729
startT[job:12, stage:2, machine:4];0.0
startT[job:12, stage:2, machine:5];0.0
startT[job:12, stage:2, machine:6];3359.9999999981437
startT[job:12, stage:2, machine:7];0.0
startT[job:12, stage:3, machine:8];4139.99999999764
startT[job:12, stage:3, machine:9];0.0
startT[job:12, stage:4, machine:10];7499.999999997715
startT[job:12, stage:5, machine:11];7919.999999996797
startT[job:12, stage:5, machine:12];0.0
startT[job:12, stage:6, machine:13];8339.999999996217
startT[job:13, stage:0, machine:1];1439.9999999990919
startT[job:13, stage:0, machine:2];0.0
startT[job:13, stage:1, machine:3];1799.999999999283
startT[job:13, stage:2, machine:4];0.0
