name;value
Z_FO;128.0
s[j0_l0_i0];0.0
s[j0_l1_i1];25.0
s[j0_l2_i2];3.0
s[j0_l3_i1];11.0
s[j0_l4_i1];6.0
s[j0_l5_i1];19.0
s[j0_l6_i1];14.0
s[j0_l7_i1];3.0
s[j0_l8_i2];10.0
s[j0_l9_i0];6.0
x[j1l10_0_j2l20_0];0.0
x[j1l10_0_j2l20_1];0.0
x[j1l10_0_j2l20_2];0.0
x[j1l10_0_j2l20_3];0.0
x[j1l10_0_j2l20_4];0.0
x[j1l10_0_j2l20_5];0.0
x[j1l10_0_j2l20_6];0.0
x[j1l10_0_j2l20_7];0.0
x[j1l10_0_j2l20_8];0.0
x[j1l10_0_j2l20_9];0.0
x[j1l10_1_j2l20_0];0.0
x[j1l10_1_j2l20_1];0.0
x[j1l10_1_j2l20_2];0.0
x[j1l10_1_j2l20_3];1.0
x[j1l10_1_j2l20_4];1.0
x[j1l10_1_j2l20_5];1.0
x[j1l10_1_j2l20_6];1.0
x[j1l10_1_j2l20_7];1.0
x[j1l10_1_j2l20_8];0.0
x[j1l10_1_j2l20_9];0.0
x[j1l10_2_j2l20_0];0.0
x[j1l10_2_j2l20_1];0.0
x[j1l10_2_j2l20_2];0.0
x[j1l10_2_j2l20_3];0.0
x[j1l10_2_j2l20_4];0.0
x[j1l10_2_j2l20_5];0.0
x[j1l10_2_j2l20_6];0.0
x[j1l10_2_j2l20_7];0.0
x[j1l10_2_j2l20_8];0.0
x[j1l10_2_j2l20_9];0.0
x[j1l10_3_j2l20_0];0.0
x[j1l10_3_j2l20_1];0.0
x[j1l10_3_j2l20_2];0.0
x[j1l10_3_j2l20_3];0.0
x[j1l10_3_j2l20_4];1.0
x[j1l10_3_j2l20_5];0.0
x[j1l10_3_j2l20_6];0.0
x[j1l10_3_j2l20_7];1.0
x[j1l10_3_j2l20_8];0.0
x[j1l10_3_j2l20_9];0.0
x[j1l10_4_j2l20_0];0.0
x[j1l10_4_j2l20_1];0.0
x[j1l10_4_j2l20_2];0.0
x[j1l10_4_j2l20_3];0.0
x[j1l10_4_j2l20_4];0.0
x[j1l10_4_j2l20_5];0.0
x[j1l10_4_j2l20_6];0.0
x[j1l10_4_j2l20_7];1.0
x[j1l10_4_j2l20_8];0.0
x[j1l10_4_j2l20_9];0.0
x[j1l10_5_j2l20_0];0.0
x[j1l10_5_j2l20_1];0.0
x[j1l10_5_j2l20_2];0.0
x[j1l10_5_j2l20_3];1.0
x[j1l10_5_j2l20_4];1.0
x[j1l10_5_j2l20_5];0.0
x[j1l10_5_j2l20_6];1.0
x[j1l10_5_j2l20_7];1.0
x[j1l10_5_j2l20_8];0.0
x[j1l10_5_j2l20_9];0.0
x[j1l10_6_j2l20_0];0.0
x[j1l10_6_j2l20_1];0.0
x[j1l10_6_j2l20_2];0.0
x[j1l10_6_j2l20_3];1.0
x[j1l10_6_j2l20_4];1.0
x[j1l10_6_j2l20_5];0.0
x[j1l10_6_j2l20_6];0.0
x[j1l10_6_j2l20_7];1.0
x[j1l10_6_j2l20_8];0.0
x[j1l10_6_j2l20_9];0.0
x[j1l10_7_j2l20_0];0.0
x[j1l10_7_j2l20_1];0.0
x[j1l10_7_j2l20_2];0.0
x[j1l10_7_j2l20_3];0.0
x[j1l10_7_j2l20_4];0.0
x[j1l10_7_j2l20_5];0.0
x[j1l10_7_j2l20_6];0.0
x[j1l10_7_j2l20_7];0.0
x[j1l10_7_j2l20_8];0.0
x[j1l10_7_j2l20_9];0.0
x[j1l10_8_j2l20_0];0.0
x[j1l10_8_j2l20_1];0.0
x[j1l10_8_j2l20_2];1.0
x[j1l10_8_j2l20_3];0.0
x[j1l10_8_j2l20_4];0.0
x[j1l10_8_j2l20_5];0.0
x[j1l10_8_j2l20_6];0.0
x[j1l10_8_j2l20_7];0.0
x[j1l10_8_j2l20_8];0.0
x[j1l10_8_j2l20_9];0.0
x[j1l10_9_j2l20_0];1.0
x[j1l10_9_j2l20_1];0.0
x[j1l10_9_j2l20_2];0.0
x[j1l10_9_j2l20_3];0.0
x[j1l10_9_j2l20_4];0.0
x[j1l10_9_j2l20_5];0.0
x[j1l10_9_j2l20_6];0.0
x[j1l10_9_j2l20_7];0.0
x[j1l10_9_j2l20_8];0.0
x[j1l10_9_j2l20_9];0.0
y[j0_l0_i0];1.0
y[j0_l1_i1];1.0
y[j0_l2_i2];1.0
y[j0_l3_i1];1.0
y[j0_l4_i1];1.0
y[j0_l5_i1];1.0
y[j0_l6_i1];1.0
y[j0_l7_i1];1.0
y[j0_l8_i2];1.0
y[j0_l9_i0];1.0
