name;value
C_max;177.0
startT[job:0, stage:0, machine:10];0.0
startT[job:0, stage:0, machine:1];0.0
startT[job:0, stage:0, machine:2];0.0
startT[job:0, stage:0, machine:4];0.0
startT[job:0, stage:0, machine:6];0.0
startT[job:0, stage:0, machine:7];0.0
startT[job:0, stage:0, machine:8];0.0
startT[job:0, stage:0, machine:9];0.0
startT[job:1, stage:0, machine:1];0.0
startT[job:1, stage:0, machine:4];6.0
startT[job:1, stage:0, machine:7];0.0
startT[job:1, stage:0, machine:8];0.0
startT[job:1, stage:0, machine:9];0.0
startT[job:10, stage:0, machine:10];0.0
startT[job:10, stage:0, machine:2];0.0
startT[job:10, stage:0, machine:5];0.0
startT[job:10, stage:0, machine:6];1.0
startT[job:10, stage:0, machine:7];0.0
startT[job:10, stage:0, machine:8];0.0
startT[job:11, stage:0, machine:10];0.0
startT[job:11, stage:0, machine:1];0.0
startT[job:11, stage:0, machine:2];0.0
startT[job:11, stage:0, machine:3];0.0
startT[job:11, stage:0, machine:5];0.0
startT[job:11, stage:0, machine:7];0.0
startT[job:11, stage:0, machine:8];0.0
startT[job:12, stage:0, machine:10];0.0
startT[job:12, stage:0, machine:1];0.0
startT[job:12, stage:0, machine:2];5.0
startT[job:12, stage:0, machine:3];0.0
startT[job:12, stage:0, machine:4];0.0
startT[job:12, stage:0, machine:5];0.0
startT[job:12, stage:0, machine:6];0.0
startT[job:12, stage:0, machine:7];0.0
startT[job:12, stage:0, machine:8];0.0
startT[job:12, stage:0, machine:9];0.0
startT[job:13, stage:0, machine:2];0.0
startT[job:13, stage:0, machine:3];0.0
startT[job:13, stage:0, machine:4];0.0
startT[job:13, stage:0, machine:5];0.0
startT[job:13, stage:0, machine:6];0.0
startT[job:13, stage:0, machine:7];0.0
startT[job:13, stage:0, machine:8];0.0
startT[job:14, stage:0, machine:10];0.0
startT[job:14, stage:0, machine:1];0.0
startT[job:14, stage:0, machine:3];0.0
startT[job:14, stage:0, machine:4];0.0
startT[job:14, stage:0, machine:5];0.0
startT[job:14, stage:0, machine:6];0.0
startT[job:14, stage:0, machine:7];0.0
startT[job:14, stage:0, machine:9];0.0
startT[job:15, stage:0, machine:10];0.0
startT[job:15, stage:0, machine:1];0.0
startT[job:15, stage:0, machine:2];0.0
startT[job:15, stage:0, machine:3];0.0
startT[job:15, stage:0, machine:5];0.0
startT[job:15, stage:0, machine:6];0.0
startT[job:15, stage:0, machine:7];0.0
startT[job:15, stage:0, machine:9];0.0
startT[job:16, stage:0, machine:10];0.0
startT[job:16, stage:0, machine:1];0.0
startT[job:16, stage:0, machine:4];0.0
startT[job:16, stage:0, machine:5];0.0
startT[job:16, stage:0, machine:7];0.0
startT[job:16, stage:0, machine:8];9.0
startT[job:16, stage:0, machine:9];0.0
startT[job:17, stage:0, machine:10];10.0
startT[job:17, stage:0, machine:2];0.0
startT[job:17, stage:0, machine:4];0.0
startT[job:17, stage:0, machine:5];0.0
startT[job:17, stage:0, machine:6];0.0
startT[job:17, stage:0, machine:7];0.0
startT[job:17, stage:0, machine:8];0.0
startT[job:17, stage:0, machine:9];0.0
startT[job:18, stage:0, machine:2];0.0
startT[job:18, stage:0, machine:3];0.0
startT[job:18, stage:0, machine:5];0.0
startT[job:18, stage:0, machine:6];0.0
startT[job:18, stage:0, machine:7];0.0
startT[job:19, stage:0, machine:1];0.0
startT[job:19, stage:0, machine:2];0.0
startT[job:19, stage:0, machine:4];0.0
startT[job:19, stage:0, machine:5];5.0
startT[job:19, stage:0, machine:8];0.0
startT[job:2, stage:0, machine:10];0.0
startT[job:2, stage:0, machine:1];0.0
startT[job:2, stage:0, machine:3];7.0
startT[job:2, stage:0, machine:4];0.0
startT[job:2, stage:0, machine:6];0.0
startT[job:2, stage:0, machine:7];0.0
startT[job:2, stage:0, machine:8];0.0
startT[job:2, stage:0, machine:9];0.0
startT[job:3, stage:0, machine:10];0.0
startT[job:3, stage:0, machine:1];0.0
startT[job:3, stage:0, machine:4];0.0
startT[job:3, stage:0, machine:5];0.0
startT[job:3, stage:0, machine:7];0.0
startT[job:4, stage:0, machine:10];0.0
startT[job:4, stage:0, machine:3];0.0
startT[job:4, stage:0, machine:5];0.0
startT[job:4, stage:0, machine:9];11.0
startT[job:5, stage:0, machine:2];0.0
startT[job:5, stage:0, machine:3];0.0
