name;value
C49;1.0
C50;1.0
C51;1.0
Z_FO;51.0
s[0,0,1];35.0
s[0,1,0];31.0
s[1,0,1];9.0
s[1,1,1];0.0
s[2,0,0];20.0
s[2,1,0];1.0
x[0,0,0,0];0.0
x[0,0,0,1];0.0
x[0,0,1,0];1.0
x[0,0,1,1];1.0
x[0,0,2,0];0.0
x[0,0,2,1];0.0
x[0,1,0,0];0.0
x[0,1,0,1];0.0
x[0,1,1,0];0.0
x[0,1,1,1];0.0
x[0,1,2,0];1.0
x[0,1,2,1];1.0
x[1,0,0,0];0.0
x[1,0,0,1];0.0
x[1,0,1,0];0.0
x[1,0,1,1];1.0
x[1,0,2,0];0.0
x[1,0,2,1];0.0
x[1,1,0,0];0.0
x[1,1,0,1];0.0
x[1,1,1,0];0.0
x[1,1,1,1];0.0
x[1,1,2,0];0.0
x[1,1,2,1];0.0
x[2,0,0,0];0.0
x[2,0,0,1];0.0
x[2,0,1,0];0.0
x[2,0,1,1];0.0
x[2,0,2,0];0.0
x[2,0,2,1];1.0
x[2,1,0,0];0.0
x[2,1,0,1];0.0
x[2,1,1,0];0.0
x[2,1,1,1];0.0
x[2,1,2,0];0.0
x[2,1,2,1];0.0
y[0,0,1];1.0
y[0,1,0];1.0
y[1,0,1];1.0
y[1,1,1];1.0
y[2,0,0];1.0
y[2,1,0];1.0
