name;value
Z_FO;49.0
s[0,0,2];0.0
s[0,0,3];5.0
s[0,1,1];0.0
s[0,1,3];0.0
s[0,2,1];0.0
s[0,2,2];1.0
s[1,0,2];0.0
s[1,0,3];24.0
s[1,1,1];0.0
s[1,1,2];19.0
s[1,2,1];0.0
s[1,2,3];11.0
s[2,0,0];12.0
s[2,0,1];0.0
s[2,1,2];6.0
s[2,1,3];0.0
s[2,2,1];10.0
s[2,2,3];0.0
x[0,0,0,0];0.0
x[0,0,0,1];0.0
x[0,0,0,2];1.0
x[0,0,1,0];0.0
x[0,0,1,1];0.0
x[0,0,1,2];0.0
x[0,0,2,0];0.0
x[0,0,2,1];1.0
x[0,0,2,2];0.0
x[0,1,0,0];1.0
x[0,1,0,1];0.0
x[0,1,0,2];1.0
x[0,1,1,0];1.0
x[0,1,1,1];0.0
x[0,1,1,2];0.0
x[0,1,2,0];0.0
x[0,1,2,1];0.0
x[0,1,2,2];0.0
x[0,2,0,0];1.0
x[0,2,0,1];0.0
x[0,2,0,2];0.0
x[0,2,1,0];0.0
x[0,2,1,1];0.0
x[0,2,1,2];0.0
x[0,2,2,0];0.0
x[0,2,2,1];0.0
x[0,2,2,2];1.0
x[1,0,0,0];0.0
x[1,0,0,1];0.0
x[1,0,0,2];0.0
x[1,0,1,0];0.0
x[1,0,1,1];0.0
x[1,0,1,2];1.0
x[1,0,2,0];0.0
x[1,0,2,1];0.0
x[1,0,2,2];0.0
x[1,1,0,0];0.0
x[1,1,0,1];0.0
x[1,1,0,2];0.0
x[1,1,1,0];0.0
x[1,1,1,1];0.0
x[1,1,1,2];0.0
x[1,1,2,0];0.0
x[1,1,2,1];1.0
x[1,1,2,2];1.0
x[1,2,0,0];0.0
x[1,2,0,1];0.0
x[1,2,0,2];0.0
x[1,2,1,0];0.0
x[1,2,1,1];0.0
x[1,2,1,2];0.0
x[1,2,2,0];0.0
x[1,2,2,1];0.0
x[1,2,2,2];0.0
x[2,0,0,0];0.0
x[2,0,0,1];0.0
x[2,0,0,2];0.0
x[2,0,1,0];0.0
x[2,0,1,1];0.0
x[2,0,1,2];0.0
x[2,0,2,0];0.0
x[2,0,2,1];0.0
x[2,0,2,2];0.0
x[2,1,0,0];0.0
x[2,1,0,1];0.0
x[2,1,0,2];0.0
x[2,1,1,0];0.0
x[2,1,1,1];0.0
x[2,1,1,2];0.0
x[2,1,2,0];0.0
x[2,1,2,1];0.0
x[2,1,2,2];0.0
x[2,2,0,0];0.0
x[2,2,0,1];0.0
x[2,2,0,2];0.0
x[2,2,1,0];0.0
x[2,2,1,1];0.0
x[2,2,1,2];0.0
x[2,2,2,0];0.0
x[2,2,2,1];0.0
x[2,2,2,2];0.0
y[0,0,2];0.0
y[0,0,3];1.0
y[0,1,1];1.0
y[0,1,3];0.0
y[0,2,1];0.0
y[0,2,2];1.0
y[1,0,2];0.0
y[1,0,3];1.0
y[1,1,1];0.0
y[1,1,2];1.0
y[1,2,1];0.0
y[1,2,3];1.0
y[2,0,0];1.0
y[2,0,1];0.0
y[2,1,2];1.0
y[2,1,3];0.0
y[2,2,1];1.0
y[2,2,3];0.0
