
Gurobi 10.0.1 (win64) logging started Sun Oct  8 07:17:57 2023

Set parameter LogFile to value "./results//log/FMS_09_deadline_heurTrue.log"
Gurobi Optimizer version 10.0.1 build v10.0.1rc0 (win64)

CPU model: AMD Ryzen 7 3700X 8-Core Processor, instruction set [SSE2|AVX|AVX2]
Thread count: 8 physical cores, 16 logical processors, using up to 16 threads

Optimize a model with 193 rows, 124 columns and 752 nonzeros
Model fingerprint: 0x995c0f1b
Model has 1 quadratic constraint
Variable types: 0 continuous, 124 integer (105 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+07]
  QMatrix range    [1e+00, 1e+00]
  QLMatrix range   [1e+00, 4e+02]
  Objective range  [1e+00, 1e+00]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 3e+07]

User MIP start did not produce a new incumbent solution
User MIP start violates constraint initial_start_time_job0_stage0_machine0_constraint by 420.000000000

Presolve removed 33 rows and 45 columns
Presolve time: 0.01s
Presolved: 167 rows, 85 columns, 735 nonzeros
Variable types: 0 continuous, 85 integer (60 binary)

Root relaxation: objective 0.000000e+00, 30 iterations, 0.00 seconds (0.00 work units)
Another try with MIP start

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0    0.00000    0    5          -    0.00000      -     -    0s
H    0     0                    2204.0000000    0.00000   100%     -    0s
H    0     0                    1289.0000000    0.00000   100%     -    0s
H    0     0                    1231.0000000    0.00000   100%     -    0s
     0     0    0.00000    0    6 1231.00000    0.00000   100%     -    0s
H    0     0                    1212.0000000    0.00000   100%     -    0s
H    0     0                    1126.0000000    0.00000   100%     -    0s
H    0     0                    1049.0000000    0.00000   100%     -    0s
     0     0    0.00000    0    7 1049.00000    0.00000   100%     -    0s
     0     0  455.00000    0    6 1049.00000  455.00000  56.6%     -    0s
H    0     0                    1048.0000000  455.00000  56.6%     -    0s
H    0     0                    1047.0000000  455.00000  56.5%     -    0s
     0     0  455.00006    0    6 1047.00000  455.00006  56.5%     -    0s
     0     0  465.00000    0   11 1047.00000  465.00000  55.6%     -    0s
     0     0  465.00000    0   14 1047.00000  465.00000  55.6%     -    0s
     0     0  467.00000    0   15 1047.00000  467.00000  55.4%     -    0s
     0     0  467.00000    0   15 1047.00000  467.00000  55.4%     -    0s
H    0     0                     993.0000000  467.00000  53.0%     -    0s
     0     1  467.00000    0   15  993.00000  467.00000  53.0%     -    0s
H   33    24                     979.0000000  467.00000  52.3%   5.4    0s
H   84    52                     946.0000000  467.00000  50.6%   5.0    0s
H  194    60                     850.0000000  467.00000  45.1%   4.2    0s
 438876     3  839.00000 146382    3  850.00000  839.00000  1.29%   0.0    5s
 814167     3  839.00000 270628    3  850.00000  839.00000  1.29%   0.0   10s
 1098401     3  839.00000 365940    3  850.00000  839.00000  1.29%   0.0   15s
 1357956     3  839.00000 451891    3  850.00000  839.00000  1.29%   0.0   20s
 1592832     3  839.00000 530183    3  850.00000  839.00000  1.29%   0.0   25s
 1794519     3  839.00000 597412    3  850.00000  839.00000  1.29%   0.0   30s
 1981739     3  839.00000 660386    3  850.00000  839.00000  1.29%   0.0   35s
 2155343     3  839.00000 718254    3  850.00000  839.00000  1.29%   0.0   40s
 2326394     3  839.00000 775271    3  850.00000  839.00000  1.29%   0.0   45s
 2480425     3  839.00000 826331    3  850.00000  839.00000  1.29%   0.0   50s
 2629350     3  839.00000 875689    3  850.00000  839.00000  1.29%   0.0   55s
 2777424     3  839.00000 925047    3  850.00000  839.00000  1.29%   0.0   60s
 2915286     3  839.00000 971001    3  850.00000  839.00000  1.29%   0.0   65s
 3050595     3  839.00000 1016104    3  850.00000  839.00000  1.29%   0.0   70s
 3178245     3  839.00000 1058654    3  850.00000  839.00000  1.29%   0.0   75s
 3295683     3  839.00000 1097800    3  850.00000  839.00000  1.29%   0.0   80s
 3415674     3  839.00000 1137797    3  850.00000  839.00000  1.29%   0.0   85s
 3533112     3  839.00000 1176943    3  850.00000  839.00000  1.29%   0.0   90s
 3647997     3  839.00000 1215238    3  850.00000  839.00000  1.29%   0.0   95s
 3760329     3  839.00000 1252682    3  850.00000  839.00000  1.29%   0.0  100s
 3870108     3  839.00000 1289275    3  850.00000  839.00000  1.29%   0.0  105s
 3974781     3  839.00000 1324166    3  850.00000  839.00000  1.29%   0.0  110s
 4076901     3  839.00000 1358206    3  850.00000  839.00000  1.29%   0.0  115s
 4179021     3  839.00000 1392246    3  850.00000  839.00000  1.29%   0.0  120s
 4278588     3  839.00000 1425435    3  850.00000  839.00000  1.29%   0.0  125s
 4367943     3  839.00000 1455220    3  850.00000  839.00000  1.29%   0.0  130s
 4460702     3  839.00000 1485856    3  850.00000  839.00000  1.29%   0.0  135s
 4555163     3  839.00000 1517343    3  850.00000  839.00000  1.29%   0.0  140s
 4647071     3  839.00000 1547979    3  850.00000  839.00000  1.29%   0.0  145s
 4738979     3  839.00000 1578615    3  850.00000  839.00000  1.29%   0.0  150s
 4828334     3  839.00000 1608400    3  850.00000  839.00000  1.29%   0.0  155s
 4917689     3  839.00000 1638185    3  850.00000  839.00000  1.29%   0.0  160s
 5004491     3  839.00000 1667119    3  850.00000  839.00000  1.29%   0.0  165s
 5082783     3  839.00000 1692649    3  850.00000  839.00000  1.29%   0.0  170s
 5167032     3  839.00000 1720732    3  850.00000  839.00000  1.29%   0.0  175s
 5251281     3  839.00000 1748815    3  850.00000  839.00000  1.29%   0.0  180s
 5332977     3  839.00000 1776047    3  850.00000  839.00000  1.29%   0.0  185s
 5412120     3  839.00000 1802428    3  850.00000  839.00000  1.29%   0.0  190s
 5493816     3  839.00000 1829660    3  850.00000  839.00000  1.29%   0.0  195s
 5570406     3  839.00000 1855190    3  850.00000  839.00000  1.29%   0.0  200s
 5646996     3  839.00000 1880720    3  850.00000  839.00000  1.29%   0.0  205s
 5721033     3  839.00000 1905399    3  850.00000  839.00000  1.29%   0.0  210s
 5792517     3  839.00000 1929227    3  850.00000  839.00000  1.29%   0.0  215s
 5869107     3  839.00000 1954757    3  850.00000  839.00000  1.29%   0.0  220s
 5940591     3  839.00000 1978585    3  850.00000  839.00000  1.29%   0.0  225s
 6014628     3  839.00000 2003264    3  850.00000  839.00000  1.29%   0.0  230s
 6086112     3  839.00000 2027092    3  850.00000  839.00000  1.29%   0.0  235s
 6160149     3  839.00000 2051771    3  850.00000  839.00000  1.29%   0.0  240s
 6231633     3  839.00000 2075599    3  850.00000  839.00000  1.29%   0.0  245s
 6300564     3  839.00000 2098576    3  850.00000  839.00000  1.29%   0.0  250s
 6369495     3  839.00000 2121553    3  850.00000  839.00000  1.29%   0.0  255s
 6438426     3  839.00000 2144530    3  850.00000  839.00000  1.29%   0.0  260s
 6507357     3  839.00000 2167507    3  850.00000  839.00000  1.29%   0.0  265s
 6576288     3  839.00000 2190484    3  850.00000  839.00000  1.29%   0.0  270s
 6642666     3  839.00000 2212610    3  850.00000  839.00000  1.29%   0.0  275s
 6709044     3  839.00000 2234736    3  850.00000  839.00000  1.29%   0.0  280s
 6775422     3  839.00000 2256862    3  850.00000  839.00000  1.29%   0.0  285s
 6837545     3  839.00000 2277286    3  850.00000  839.00000  1.29%   0.0  290s
 6901370     3  839.00000 2298561    3  850.00000  839.00000  1.29%   0.0  295s
 6965195     3  839.00000 2319836    3  850.00000  839.00000  1.29%   0.0  300s
 7029020     3  839.00000 2341111    3  850.00000  839.00000  1.29%   0.0  305s
 7090292     3  839.00000 2361535    3  850.00000  839.00000  1.29%   0.0  310s
 7151564     3  839.00000 2381959    3  850.00000  839.00000  1.29%   0.0  315s
 7211985     3  839.00000 2401532    3  850.00000  839.00000  1.29%   0.0  320s
 7273257     3  839.00000 2421956    3  850.00000  839.00000  1.29%   0.0  325s
 7334529     3  839.00000 2442380    3  850.00000  839.00000  1.29%   0.0  330s
 7395801     3  839.00000 2462804    3  850.00000  839.00000  1.29%   0.0  335s
 7457073     3  839.00000 2483228    3  850.00000  839.00000  1.29%   0.0  340s
 7515792     3  839.00000 2502801    3  850.00000  839.00000  1.29%   0.0  345s
 7572811     3  839.00000 2522374    3  850.00000  839.00000  1.29%   0.0  350s
 7628975     3  839.00000 2541096    3  850.00000  839.00000  1.29%   0.0  355s
 7687694     3  839.00000 2560669    3  850.00000  839.00000  1.29%   0.0  360s
 7746413     3  839.00000 2580242    3  850.00000  839.00000  1.29%   0.0  365s
 7805132     3  839.00000 2599815    3  850.00000  839.00000  1.29%   0.0  370s
 7861298     3  839.00000 2618537    3  850.00000  839.00000  1.29%   0.0  375s
 7920017     3  839.00000 2638110    3  850.00000  839.00000  1.29%   0.0  380s
 7973630     3  839.00000 2655981    3  850.00000  839.00000  1.29%   0.0  385s
 8029796     3  839.00000 2674703    3  850.00000  839.00000  1.29%   0.0  390s
 8085962     3  839.00000 2693425    3  850.00000  839.00000  1.29%   0.0  395s
 8142128     3  839.00000 2712147    3  850.00000  839.00000  1.29%   0.0  400s
 8198294     3  839.00000 2730869    3  850.00000  839.00000  1.29%   0.0  405s
 8251907     3  839.00000 2748740    3  850.00000  839.00000  1.29%   0.0  410s
 8308073     3  839.00000 2767462    3  850.00000  839.00000  1.29%   0.0  415s
