0s;-;100%;0.00000;87.0000000;0;0;H
0s;-;100%;0.00000;69.0000000;0;0;H
0s;-;100%;0.00000;69.00000;11;0;0.00000;0;0
0s;-;100%;0.00000;69.00000;20;0;0.00000;0;0
0s;-;100%;0.00000;64.0000000;0;0;H
0s;-;100%;0.00000;64.00000;7;0;0.00000;0;0
0s;-;100%;0.00000;64.00000;17;0;0.00000;0;0
0s;-;100%;0.00000;64.00000;2;0;0.00000;0;0
0s;-;100%;0.00000;64.00000;35;0;0.00000;0;0
0s;-;100%;0.00000;64.00000;4;0;0.00000;0;0
0s;-;100%;0.00000;64.00000;18;0;0.00000;0;0
0s;-;100%;0.00000;64.00000;18;0;0.00000;0;0
0s;-;100%;0.00000;64.00000;22;0;0.00000;0;0
0s;-;100%;0.00000;64.00000;3;0;0.00000;0;0
1s;-;100%;0.00000;64.00000;3;0;0.00000;0;0
1s;-;100%;0.00000;64.00000;3;0;0.00000;2;0
1s;19.3;100%;0.00000;61.0000000;223;223;H
1s;12.0;100%;0.00000;58.0000000;258;431;H
3s;0.5;100%;0.00000;56.0000000;274;H11068
5s;1.3;85.7%;8.00000;56.00000;41;24;25.00000;393;14573
8s;3.3;84.9%;8.00000;53.0000000;773;H15062
8s;3.4;83.7%;8.00000;49.0000000;704;H15207
10s;4.8;83.7%;8.00000;49.00000;20;64;8.00000;2282;18246
15s;7.6;83.7%;8.00000;49.00000;97;infeasible;11533;39553
20s;8.5;83.7%;8.00000;49.00000;24;73;15.00000;21359;61274
25s;8.8;83.7%;8.00000;49.00000;17;87;33.62500;36601;99277
30s;9.0;83.7%;8.00000;49.00000;21;80;48.00000;50710;134709
35s;9.1;83.7%;8.00000;49.00000;20;79;43.00000;60216;153100
40s;9.2;83.7%;8.00000;49.00000;6;92;44.00000;71894;186630
45s;9.2;83.7%;8.00000;49.00000;21;71;11.00000;91600;227015
50s;9.3;83.7%;8.00000;49.00000;24;68;8.00000;98417;250416
53s;9.3;83.3%;8.00000;48.0000000;99;111216;*287671
53s;9.3;82.6%;8.00000;46.0000000;102;107052;*287677
54s;9.3;82.2%;8.00000;45.0000000;106510;H288131
55s;9.3;82.2%;8.00000;45.00000;28;66;8.00000;110446;302737
56s;9.3;81.8%;8.00000;44.0000000;116836;H327260
60s;9.4;81.8%;8.00000;44.00000;83;infeasible;128301;356163
60s;9.4;81.0%;8.00000;42.0000000;124414;H362279
63s;9.4;80.5%;8.00000;41.0000000;121109;H365552
65s;9.5;80.5%;8.00000;41.00000;31;84;30.00000;124169;373729
70s;9.6;80.5%;8.00000;41.00000;22;79;10.00000;130107;393350
75s;9.8;80.5%;8.00000;41.00000;79;infeasible;145755;438103
81s;9.9;80.5%;8.00000;41.00000;19;85;30.00000;157728;478780
86s;10.0;80.5%;8.00000;41.00000;85;infeasible;164302;500659
90s;10.1;80.5%;8.00000;41.00000;18;92;39.00000;175277;527687
