0s;-;61.7%;7937.00000;20708.000000;0;0;H
0s;-;61.7%;7937.00000;20708.0000;74;0;7937.00000;0;0
0s;-;61.2%;8027.00235;20708.0000;90;0;8027.00235;0;0
0s;-;61.2%;8030.00000;20708.0000;96;0;8030.00000;0;0
0s;-;61.2%;8030.00000;20708.0000;91;0;8030.00000;0;0
0s;-;61.2%;8030.00000;20708.0000;91;0;8030.00000;0;0
0s;-;61.2%;8030.00000;20708.0000;91;0;8030.00000;0;0
0s;-;61.2%;8032.00000;20708.0000;98;0;8032.00000;0;0
0s;-;61.2%;8032.80355;20708.0000;97;0;8032.80355;0;0
0s;-;60.9%;8032.80355;20536.000000;0;0;H
0s;-;60.9%;8033.99657;20536.0000;94;0;8033.99657;0;0
0s;-;60.9%;8034.00000;20536.0000;91;0;8034.00000;0;0
0s;-;60.9%;8034.00000;20536.0000;91;0;8034.00000;0;0
0s;-;60.9%;8034.00000;20536.0000;95;0;8034.00000;0;0
0s;-;60.9%;8034.00000;20536.0000;95;0;8034.00000;0;0
0s;-;60.9%;8036.00000;20536.0000;94;0;8036.00000;0;0
0s;-;60.9%;8036.00000;20536.0000;94;0;8036.00000;0;0
1s;-;60.8%;8051.29904;20536.0000;89;0;8051.29904;0;0
1s;-;60.8%;8051.29904;20536.0000;88;0;8051.29904;0;0
1s;-;58.3%;8051.29904;19290.000000;0;0;H
1s;-;58.3%;8051.29904;19290.0000;88;0;8051.29904;2;0
1s;10.2;57.0%;8091.59476;18808.000000;94;83;H
1s;6.5;56.6%;8097.66859;18639.000000;647;734;H
2s;6.6;56.6%;8097.66859;18638.000000;833;989;H
2s;6.6;56.3%;8097.66859;18548.000000;832;990;H
2s;6.6;56.3%;8097.66859;18516.000000;832;1007;H
2s;6.6;55.9%;8097.66859;18360.000000;873;1025;H
2s;6.7;55.7%;8097.66859;18289.000000;871;1033;H
2s;6.6;55.4%;8097.66859;18140.000000;871;1037;H
5s;6.1;52.8%;8554.92990;18140.0000;128;35;14531.0000;1246;1601
7s;4.9;52.3%;8654.03316;18130.000000;1409;1900;H
10s;7.9;52.3%;8654.03316;18130.0000;64;35;9194.80408;10305;15303
10s;7.9;52.2%;8654.03316;18114.000000;10303;H15339
11s;7.9;52.2%;8654.03316;18111.000000;105;17827;*25568
12s;7.9;50.1%;8654.03316;17332.000000;20341;H31420
12s;7.9;46.7%;8654.03316;16225.000000;18080;H31431
13s;7.9;46.6%;8654.03316;16221.000000;23304;H37451
16s;7.8;45.4%;8654.03316;15856.000000;24321;H42614
16s;7.8;45.4%;8654.03316;15855.000000;23105;H42616
16s;7.8;45.4%;8654.03316;15853.000000;21950;H42617
16s;7.8;45.4%;8654.03316;15852.000000;20852;H42617
16s;7.8;45.2%;8654.03316;15790.000000;19813;H42623
20s;7.8;45.2%;8658.41646;15790.0000;126;62;11503.2650;19834;42654
22s;7.8;42.1%;9050.72943;15624.000000;18852;H42671
25s;7.8;40.2%;9336.20751;15624.0000;134;39;9336.20751;18863;42687
30s;7.8;38.9%;9553.75502;15624.0000;142;56;11687.1811;18888;42725
