0s;-;37.1%;2.4703e+08;3.929405e+08;0;0;H
0s;-;34.8%;2.5635e+08;3.9294e+08;74;0;2.5635e+08;0;0
0s;-;34.7%;2.5659e+08;3.9294e+08;76;0;2.5659e+08;0;0
0s;-;34.4%;2.5771e+08;3.9294e+08;78;0;2.5771e+08;0;0
0s;-;32.6%;2.5771e+08;3.825475e+08;0;0;H
0s;-;31.8%;2.5771e+08;3.778659e+08;0;0;H
0s;-;31.8%;2.5772e+08;3.7787e+08;73;0;2.5772e+08;0;0
0s;-;30.0%;2.5772e+08;3.679090e+08;0;0;H
0s;-;29.6%;2.5772e+08;3.661847e+08;0;0;H
0s;-;29.6%;2.5772e+08;3.6618e+08;72;0;2.5772e+08;0;0
0s;-;29.6%;2.5772e+08;3.6618e+08;70;0;2.5772e+08;0;0
0s;-;27.5%;2.5772e+08;3.556160e+08;0;0;H
0s;-;27.5%;2.5772e+08;3.5562e+08;70;0;2.5772e+08;0;0
0s;-;27.4%;2.5772e+08;3.547475e+08;0;0;H
0s;-;27.4%;2.5772e+08;3.5475e+08;70;0;2.5772e+08;2;0
0s;4.8;27.0%;2.5849e+08;3.540970e+08;36;28;H
0s;4.0;26.7%;2.5849e+08;3.524608e+08;44;43;H
1s;2.8;26.3%;2.5849e+08;3.508504e+08;786;696;H
1s;2.8;25.8%;2.5849e+08;3.482170e+08;786;763;H
1s;2.8;21.5%;2.5849e+08;3.292961e+08;898;795;H
1s;2.8;21.1%;2.5849e+08;3.277300e+08;994;1029;H
1s;2.8;21.1%;2.5849e+08;3.275502e+08;994;1029;H
1s;2.8;18.4%;2.5849e+08;3.165855e+08;977;1046;H
1s;2.8;17.3%;2.5849e+08;3.127011e+08;1059;1124;H
2s;2.8;16.8%;2.5849e+08;3.106062e+08;1829;2072;H
5s;8.3;16.5%;2.5946e+08;3.1061e+08;173;30;2.6766e+08;2102;2411
10s;4.7;16.4%;2.5961e+08;3.1061e+08;156;77;2.9317e+08;18589;22534
15s;4.7;16.2%;2.6041e+08;3.1061e+08;190;29;2.6251e+08;32710;38720
20s;4.6;15.9%;2.6111e+08;3.1061e+08;110;108;2.9486e+08;48601;57805
25s;4.5;15.8%;2.6141e+08;3.1061e+08;91;130;2.9442e+08;63985;76260
