0s;-;37.1%;2.4703e+08;3.929405e+08;0;0;H
0s;-;34.8%;2.5635e+08;3.9294e+08;74;0;2.5635e+08;0;0
0s;-;34.7%;2.5659e+08;3.9294e+08;76;0;2.5659e+08;0;0
0s;-;34.4%;2.5771e+08;3.9294e+08;78;0;2.5771e+08;0;0
0s;-;32.6%;2.5771e+08;3.825475e+08;0;0;H
0s;-;31.8%;2.5771e+08;3.778659e+08;0;0;H
0s;-;31.8%;2.5772e+08;3.7787e+08;73;0;2.5772e+08;0;0
0s;-;30.0%;2.5772e+08;3.679090e+08;0;0;H
0s;-;29.6%;2.5772e+08;3.661847e+08;0;0;H
0s;-;29.6%;2.5772e+08;3.6618e+08;72;0;2.5772e+08;0;0
0s;-;29.6%;2.5772e+08;3.6618e+08;70;0;2.5772e+08;0;0
0s;-;27.5%;2.5772e+08;3.556160e+08;0;0;H
0s;-;27.5%;2.5772e+08;3.5562e+08;70;0;2.5772e+08;0;0
0s;-;27.4%;2.5772e+08;3.547475e+08;0;0;H
0s;-;27.4%;2.5772e+08;3.5475e+08;70;0;2.5772e+08;2;0
0s;4.8;27.0%;2.5849e+08;3.540970e+08;36;28;H
0s;4.0;26.7%;2.5849e+08;3.524608e+08;44;43;H
1s;2.8;26.3%;2.5849e+08;3.508504e+08;786;696;H
1s;2.8;25.8%;2.5849e+08;3.482170e+08;786;763;H
1s;2.8;21.5%;2.5849e+08;3.292961e+08;898;795;H
1s;2.8;21.1%;2.5849e+08;3.277300e+08;994;1029;H
1s;2.8;21.1%;2.5849e+08;3.275502e+08;994;1029;H
1s;2.8;18.4%;2.5849e+08;3.165855e+08;977;1046;H
1s;2.8;17.3%;2.5849e+08;3.127011e+08;1059;1124;H
2s;2.8;16.8%;2.5849e+08;3.106062e+08;1829;2072;H
5s;8.3;16.5%;2.5946e+08;3.1061e+08;175;29;2.6766e+08;2053;2367
10s;4.7;16.4%;2.5961e+08;3.1061e+08;170;48;2.7365e+08;15646;19049
15s;4.7;16.3%;2.6011e+08;3.1061e+08;110;97;3.0370e+08;29739;35218
20s;4.6;16.0%;2.6106e+08;3.1061e+08;72;147;3.0130e+08;43051;51172
25s;4.6;15.8%;2.6138e+08;3.1061e+08;77;130;2.9797e+08;57143;67832
